Scaler,Strategy,StrategyParam,n_components_used,k,Mean_Silhouette,STD_Silhouette,Mean_ARI_over_inits,STD_ARI_over_inits
MinMaxScaler,no_pca,-,30,2,0.16509095569484356,0.013774695725813904,0.8630971036157545,0.18454053638491463
StandardScaler,evr,evr>=0.95,23,2,0.16383575296030747,0.0033077801514108485,0.9297300417482764,0.040277125188094544
StandardScaler,no_pca,-,30,2,0.16185063380010017,0.0026569160192844135,0.942656678795047,0.035736944125295066
StandardScaler,fixed_n,n=8,8,5,0.15689788815074182,0.004805848040863509,0.8832114467413508,0.09397613883838271
MinMaxScaler,fixed_n,n=8,8,4,0.15388385679099018,0.002420559695421214,0.8931306621195897,0.05120447377791792
MinMaxScaler,fixed_n,n=8,8,5,0.15260956758177602,0.00798654150822626,0.6374776014684822,0.21268150217323156
StandardScaler,fixed_n,n=8,8,4,0.1503437069681694,0.0012488812189547199,0.8701781864464435,0.06456312966961825
StandardScaler,fixed_n,n=8,8,6,0.1494089113365097,0.007320348485319316,0.618421466303609,0.1051499486890487
MinMaxScaler,fixed_n,n=8,8,7,0.1491520547794732,0.004785027440932911,0.7268027533949878,0.12258180133447198
MinMaxScaler,fixed_n,n=8,8,3,0.14773910439538188,0.0008436672525778095,0.9474989823844965,0.10500203523100698
MinMaxScaler,fixed_n,n=8,8,6,0.14757845379262297,0.003240718859581586,0.6476042008100117,0.10670847912682842
StandardScaler,fixed_n,n=8,8,3,0.1437090684224825,0.0014017302918141856,0.862010737033275,0.09119848256544648
StandardScaler,fixed_n,n=8,8,7,0.14204231930975522,0.004873502090290895,0.579884333609394,0.1363779934471651
MinMaxScaler,fixed_n,n=10,10,4,0.129817557743232,0.0027077932584050907,0.8082108742315574,0.09493072790491416
MinMaxScaler,fixed_n,n=10,10,5,0.12938418529918733,0.007814349513179308,0.5515900900159489,0.18660656322409472
StandardScaler,fixed_n,n=10,10,4,0.12881511639145396,0.0013916025987369199,0.8340277480310688,0.06322264601246204
MinMaxScaler,fixed_n,n=10,10,3,0.12844828278243278,0.0005432247326350571,0.945298774024253,0.0555446909838774
MinMaxScaler,fixed_n,n=10,10,6,0.12803840543840941,0.008802774914735387,0.5509852356919143,0.13456821531011864
StandardScaler,fixed_n,n=10,10,5,0.12767462858011897,0.006043925599045596,0.6957991813761212,0.11203234464157888
StandardScaler,fixed_n,n=10,10,6,0.1259260389396088,0.0044044523487113685,0.5269512917905202,0.11480706384006038
StandardScaler,fixed_n,n=10,10,7,0.12590696485963035,0.005860232082237303,0.534385874465088,0.11047568934191307
StandardScaler,fixed_n,n=10,10,3,0.1235646871236586,0.0013463836995042634,0.8481394292765103,0.09764826238673976
MinMaxScaler,fixed_n,n=10,10,7,0.12327003605510471,0.004396656622888817,0.5886905712847849,0.1062656102408299
MinMaxScaler,evr,evr>=0.90,18,4,0.09635858367021366,0.003187487637489663,0.7074538634525568,0.10531986086702731
MinMaxScaler,evr,evr>=0.90,18,3,0.09388301121442962,0.0005089874365423658,0.8478141828152292,0.06703882041667629
MinMaxScaler,evr,evr>=0.90,18,6,0.09194614051154834,0.006863496933329637,0.497147322905793,0.12547734318417683
MinMaxScaler,evr,evr>=0.90,18,5,0.0901494671244275,0.007147431184814461,0.507860119655867,0.12245624018151512
MinMaxScaler,evr,evr>=0.95,22,4,0.08974029582785766,0.0027932324604620228,0.7236537277418583,0.1302346827406883
MinMaxScaler,evr,evr>=0.95,22,3,0.08869453535923202,0.0018418338359576553,0.8070064405875131,0.09885784391744393
StandardScaler,evr,evr>=0.90,19,4,0.08821320819635828,0.0021641544664115467,0.7917896905423559,0.06848578320130064
MinMaxScaler,evr,evr>=0.90,18,7,0.08815755413754753,0.006398726267834988,0.49025240594758474,0.12297359117321793
StandardScaler,evr,evr>=0.90,19,5,0.08616999412066914,0.0036565532291742624,0.6050556787719529,0.13129496269114807
MinMaxScaler,evr,evr>=0.95,22,6,0.08556637178903655,0.004334604233578236,0.5519545690245308,0.10906529627287798
StandardScaler,evr,evr>=0.90,19,3,0.08519035143239354,0.0011399326186918232,0.7939304191073424,0.07881266543386675
MinMaxScaler,no_pca,-,30,4,0.08495053693264638,0.0034033912728593753,0.6961953021542592,0.1356667025669355
StandardScaler,evr,evr>=0.90,19,7,0.08455202003454919,0.006427958990763605,0.5272202049676376,0.08032234363838404
MinMaxScaler,evr,evr>=0.95,22,5,0.08401361485360441,0.003284211185219021,0.5068473397608773,0.1255878148809404
MinMaxScaler,no_pca,-,30,3,0.08318271646879671,0.0011598993174386726,0.7810274580881779,0.09614584316524462
StandardScaler,evr,evr>=0.90,19,6,0.08168676501819896,0.006249344912099618,0.5007911771937373,0.10548693253640155
MinMaxScaler,evr,evr>=0.95,22,7,0.0813197137667664,0.005841213211575548,0.4507743426015807,0.09785698811039505
StandardScaler,evr,evr>=0.95,23,4,0.08096324745133261,0.0018119063291265145,0.7934143514233125,0.0815898062607891
StandardScaler,evr,evr>=0.95,23,3,0.07903461520899771,0.002340490255669865,0.7473284849117764,0.10252133867853348
StandardScaler,evr,evr>=0.95,23,5,0.07769445637065678,0.004481701438407422,0.6137030240541416,0.10373945618613345
StandardScaler,evr,evr>=0.95,23,7,0.0769879445734363,0.005634723802399971,0.4796872557327001,0.09962176702379835
StandardScaler,no_pca,-,30,4,0.07672704611514772,0.0029965167729268096,0.7640470891959731,0.10206445104920794
StandardScaler,evr,evr>=0.95,23,6,0.07664880154988829,0.007622744588695119,0.5011350791292574,0.09187887826658146
MinMaxScaler,no_pca,-,30,5,0.07641622708144646,0.007501944229204994,0.4758638670767264,0.11632974430280782
StandardScaler,no_pca,-,30,5,0.07424777663355381,0.005523437813584904,0.5923799968059528,0.09823555528990971
StandardScaler,no_pca,-,30,3,0.07418696218537729,0.0021019377086008966,0.7833269303086774,0.10544216592597236
StandardScaler,no_pca,-,30,6,0.07094376495924547,0.004842655955118587,0.46088491918608726,0.1143349339225536
MinMaxScaler,no_pca,-,30,6,0.06954854321830896,0.007560669459692113,0.4295491602509126,0.08984319358965384
StandardScaler,no_pca,-,30,7,0.06778152114046673,0.005902998159674083,0.4131364128676526,0.08715601096106654
MinMaxScaler,no_pca,-,30,7,0.06681505997846805,0.01049897501259063,0.38793552759200717,0.09352539629924543
